iter	Logloss
0	0.6720177224
1	0.6515176539
2	0.6340122083
3	0.6148938638
4	0.6000007243
5	0.5825798362
6	0.5681346942
7	0.5544451456
8	0.5422176291
9	0.5298453829
10	0.517793139
11	0.5047025479
12	0.4932961264
13	0.4816001006
14	0.4710413707
15	0.460562344
16	0.4522155959
17	0.4439786666
18	0.4349643889
19	0.4267111926
20	0.4187610005
21	0.4117716292
22	0.4043614115
23	0.3978065645
24	0.391200388
25	0.3842986068
26	0.3781761322
27	0.3724014871
28	0.3659365463
29	0.3596828972
30	0.3546991156
31	0.3489419679
32	0.3438734851
33	0.3391303249
34	0.3325682908
35	0.3271627305
36	0.3221108991
37	0.3176310183
38	0.3124030046
39	0.3077889237
40	0.3019973199
41	0.2990952145
42	0.2946543861
43	0.291377708
44	0.2879514145
45	0.2838393977
46	0.2789049664
47	0.2751223895
48	0.2716833213
49	0.2671479737
50	0.2638392763
51	0.2602329504
52	0.2573431505
53	0.2543791155
54	0.2504083973
55	0.247055657
56	0.2441095467
57	0.2404261638
58	0.2375657542
59	0.2340824954
60	0.2316254165
61	0.2300156597
62	0.2274394814
63	0.2249986568
64	0.2226606598
65	0.2201738797
66	0.2172906662
67	0.214666625
68	0.2123261635
69	0.2103765742
70	0.2077432681
71	0.2057750426
72	0.203826084
73	0.202305501
74	0.2004332582
75	0.1985042607
76	0.1963898231
77	0.1945583928
78	0.1931106958
79	0.1913863338
80	0.1893430468
81	0.1876191901
82	0.1856144871
83	0.1835665785
84	0.1820302352
85	0.1794572533
86	0.1786042053
87	0.1753777786
88	0.1726487876
89	0.1713463977
90	0.1700064995
91	0.1675392398
92	0.1653192293
93	0.164132247
94	0.1621783871
95	0.159836984
96	0.157885194
97	0.15695796
98	0.1560409885
99	0.1542034789
100	0.1525447992
101	0.1515636614
102	0.149134729
103	0.1478245432
104	0.1466962479
105	0.145700759
106	0.1440071535
107	0.1421215637
108	0.1412276046
109	0.1403502393
110	0.1391028343
111	0.1376335412
112	0.1363089321
113	0.135750638
114	0.1344552214
115	0.1335582139
116	0.1326201578
117	0.1313050353
118	0.1299062217
119	0.1288779345
120	0.1275354648
121	0.1260906517
122	0.125250925
123	0.1237555947
124	0.1232296136
125	0.1221303476
126	0.1211303962
127	0.1200435587
128	0.1190047124
129	0.1176276405
130	0.1165861189
131	0.1158500399
132	0.115232677
133	0.1141178906
134	0.1133907688
135	0.1127923869
136	0.1117295952
137	0.1101638505
138	0.1092162371
139	0.1084972591
140	0.1075630651
141	0.1068841237
142	0.1058380244
143	0.1050521305
144	0.1043296602
145	0.1036893466
146	0.1032579636
147	0.1026028289
148	0.1014550311
149	0.1010471501
150	0.1005400761
151	0.09928777251
152	0.09865356851
153	0.09820798923
154	0.09759676257
155	0.09697565853
156	0.09656126046
157	0.09614512968
158	0.09555499749
159	0.09491346244
160	0.09491240824
161	0.09461436285
162	0.09399995105
163	0.09302171464
164	0.09248047587
165	0.09198819405
166	0.09157973446
167	0.09157482343
168	0.09122220641
169	0.09082847134
170	0.09032557687
171	0.08979222707
172	0.08935758173
173	0.08895640465
174	0.08819959951
175	0.08775033996
176	0.08735060999
177	0.08708422487
178	0.08664300539
179	0.08608448432
180	0.08573338875
181	0.08490595882
182	0.08489837752
183	0.08451309334
184	0.08406749327
185	0.08388762627
186	0.08330327038
187	0.08291985433
188	0.08259704815
189	0.08227864012
190	0.0820226141
191	0.08157615125
192	0.08107006896
193	0.08069846419
194	0.08028889853
195	0.07989243106
196	0.07956299704
197	0.07885911998
198	0.07842468499
199	0.07804634927
200	0.07750958163
201	0.07720884823
202	0.07663987871
203	0.07643505579
204	0.07626609969
205	0.07607536385
206	0.07607535217
207	0.07581386389
208	0.07551022797
209	0.07512696161
210	0.07507709183
211	0.0747787744
212	0.07451176796
213	0.07419627772
214	0.07387726423
215	0.07363754375
216	0.07363481077
217	0.07311486168
218	0.07292981353
219	0.07248474894
220	0.07225527728
221	0.07187663588
222	0.07166553378
223	0.07139031384
224	0.07113215276
225	0.07085548214
226	0.07059756737
227	0.07025515906
228	0.07001670023
229	0.0697934696
230	0.06941899587
231	0.06904758313
232	0.06876901038
233	0.06856080094
234	0.06832852154
235	0.06831008465
236	0.06804465707
237	0.06769233725
238	0.06754284029
239	0.06752911676
240	0.06712845483
241	0.06705374686
242	0.06691988905
243	0.066821387
244	0.06654033716
245	0.06629220725
246	0.06591334417
247	0.06575547687
248	0.06519476318
249	0.06478712845
250	0.06454435578
251	0.06442640145
252	0.06436846632
253	0.06410862611
254	0.06386514434
255	0.06374395475
256	0.06373201558
257	0.06320637479
258	0.06282324512
259	0.06281442654
260	0.06249574859
261	0.06215219538
262	0.06205057775
263	0.0618431378
264	0.06153368373
265	0.06091082926
266	0.06057646758
267	0.06057572779
268	0.06056485027
269	0.06018985414
270	0.06009603385
271	0.05995607209
272	0.05977580825
273	0.05962422799
274	0.05943418117
275	0.05943180904
276	0.05905638465
277	0.05905572779
278	0.05884370453
279	0.05861003214
280	0.05814021498
281	0.05802370168
282	0.05768221254
283	0.05759674579
284	0.05740061883
285	0.05710527651
286	0.05675597981
287	0.05657065658
288	0.05620482631
289	0.0561260089
290	0.05591275848
291	0.05586809072
292	0.05576750154
293	0.05568375981
294	0.05551654447
295	0.05539592633
296	0.05524668144
297	0.055224938
298	0.05522437084
299	0.05508111818
300	0.05481441318
301	0.05444444001
302	0.05434186002
