iter	Passed	Remaining
439	1300	1654
440	1302	1651
441	1305	1648
442	1308	1645
443	1312	1642
444	1315	1640
445	1317	1636
446	1320	1633
447	1323	1630
448	1326	1627
449	1329	1624
450	1331	1621
451	1334	1617
452	1337	1614
453	1339	1611
454	1342	1608
455	1345	1605
456	1348	1601
457	1350	1598
458	1353	1594
459	1355	1591
460	1358	1588
461	1360	1584
462	1363	1581
463	1366	1578
464	1369	1575
465	1371	1572
466	1374	1568
467	1377	1566
468	1380	1562
469	1383	1559
470	1385	1556
471	1388	1553
472	1391	1550
473	1394	1547
474	1397	1544
475	1399	1540
476	1401	1537
477	1404	1533
478	1407	1530
479	1410	1528
480	1413	1525
481	1416	1521
482	1419	1518
483	1422	1516
484	1425	1513
485	1428	1510
486	1430	1507
487	1433	1504
488	1437	1501
489	1440	1498
490	1442	1495
491	1445	1492
492	1448	1489
493	1450	1486
494	1453	1482
495	1456	1479
496	1458	1476
497	1461	1473
498	1464	1470
499	1466	1466
500	1469	1464
501	1472	1460
502	1475	1457
503	1477	1454
504	1480	1450
505	1482	1447
506	1485	1444
507	1487	1440
508	1490	1438
509	1493	1434
510	1495	1431
511	1498	1428
512	1500	1424
513	1503	1421
514	1506	1418
515	1508	1415
516	1511	1412
517	1514	1409
518	1517	1406
519	1519	1402
520	1522	1399
521	1525	1396
522	1527	1393
523	1530	1390
524	1533	1387
525	1536	1384
526	1539	1381
527	1541	1378
528	1544	1375
529	1547	1372
530	1550	1369
531	1552	1365
532	1555	1362
533	1557	1359
534	1559	1355
535	1562	1352
536	1564	1349
537	1567	1345
538	1570	1342
539	1572	1339
540	1575	1336
541	1577	1333
542	1580	1330
543	1583	1327
544	1586	1324
545	1589	1321
546	1591	1318
547	1593	1314
548	1596	1311
549	1599	1308
550	1601	1305
551	1604	1301
552	1606	1298
553	1609	1295
554	1611	1292
555	1614	1289
556	1617	1286
557	1620	1283
558	1623	1280
559	1625	1277
560	1628	1274
561	1631	1271
562	1633	1267
563	1636	1264
564	1638	1261
565	1641	1258
566	1643	1255
567	1646	1252
568	1649	1249
569	1652	1246
570	1654	1243
571	1657	1239
572	1659	1236
573	1662	1233
574	1664	1230
575	1666	1227
576	1669	1224
577	1672	1220
578	1674	1217
579	1677	1214
580	1679	1211
581	1682	1208
582	1685	1205
583	1687	1202
584	1690	1199
585	1693	1196
586	1695	1193
587	1698	1189
588	1700	1186
589	1702	1183
590	1705	1180
591	1709	1177
592	1711	1174
593	1713	1171
594	1716	1168
595	1718	1164
596	1721	1161
597	1723	1158
598	1726	1155
599	1729	1152
600	1731	1149
601	1733	1146
602	1736	1143
603	1738	1140
604	1741	1137
605	1744	1134
606	1746	1130
607	1749	1127
608	1751	1124
609	1754	1121
610	1757	1118
611	1759	1115
612	1762	1112
613	1765	1109
614	1767	1106
615	1770	1103
616	1772	1100
617	1776	1097
618	1778	1094
619	1781	1091
620	1784	1088
621	1786	1085
622	1789	1082
623	1792	1079
624	1795	1077
625	1797	1073
626	1800	1070
627	1803	1068
628	1805	1065
629	1808	1062
630	1811	1059
631	1814	1056
632	1816	1053
633	1819	1050
634	1822	1047
635	1824	1044
636	1827	1041
637	1830	1038
638	1833	1035
639	1835	1032
640	1837	1029
641	1840	1026
642	1843	1023
643	1846	1020
644	1849	1017
645	1851	1014
646	1854	1011
647	1857	1008
648	1860	1006
649	1863	1003
650	1865	1000
651	1868	997
652	1871	994
653	1873	991
654	1876	988
655	1879	985
656	1882	982
657	1885	979
658	1888	977
659	1891	974
660	1894	971
661	1896	968
662	1899	965
663	1902	962
664	1904	959
665	1907	956
666	1909	953
667	1912	950
668	1914	947
669	1917	944
670	1919	941
671	1922	938
672	1925	935
673	1927	932
674	1929	929
675	1932	926
676	1935	923
677	1938	920
678	1940	917
679	1942	914
680	1945	911
681	1948	908
682	1950	905
683	1953	902
684	1955	899
685	1957	896
686	1960	893
687	1962	890
688	1965	887
689	1967	884
690	1970	881
691	1972	877
692	1975	874
693	1978	872
694	1981	869
695	1983	866
696	1986	863
697	1988	860
698	1991	857
699	1995	855
700	1997	852
701	2000	849
702	2003	846
703	2005	843
704	2008	840
705	2010	837
706	2013	834
707	2016	831
708	2018	828
709	2021	825
710	2024	822
711	2026	819
712	2029	816
713	2032	813
714	2034	811
715	2037	808
716	2039	805
717	2042	802
718	2044	799
719	2047	796
720	2049	793
721	2052	790
722	2055	787
723	2057	784
724	2060	781
725	2063	778
726	2065	775
727	2068	772
728	2070	769
729	2073	766
730	2076	764
731	2078	761
732	2081	758
733	2084	755
734	2086	752
735	2088	749
736	2091	746
737	2093	743
738	2096	740
739	2099	737
740	2101	734
741	2104	731
742	2106	728
743	2109	725
744	2112	723
745	2115	720
746	2117	717
747	2119	714
748	2122	711
749	2125	708
750	2127	705
751	2130	702
752	2132	699
753	2135	696
754	2138	693
755	2140	690
756	2143	688
757	2145	685
758	2148	682
759	2151	679
760	2154	676
761	2157	673
762	2160	671
763	2163	668
764	2165	665
765	2168	662
766	2171	659
767	2174	656
768	2177	654
769	2180	651
770	2183	648
771	2186	645
772	2189	643
773	2192	640
774	2195	637
775	2197	634
776	2200	631
777	2203	628
778	2206	625
779	2209	623
780	2211	620
781	2214	617
782	2217	614
783	2219	611
784	2222	608
785	2224	605
786	2228	603
787	2231	600
788	2234	597
789	2236	594
790	2239	591
791	2242	588
792	2245	586
793	2248	583
794	2251	580
795	2254	577
796	2257	574
797	2259	571
798	2262	569
799	2265	566
800	2268	563
801	2270	560
802	2273	557
803	2276	554
804	2278	551
805	2281	549
806	2283	546
807	2286	543
808	2289	540
809	2291	537
810	2294	534
811	2297	531
812	2299	528
813	2302	526
814	2305	523
815	2308	520
816	2310	517
817	2313	514
818	2316	511
819	2318	509
