iter	MAE
0	697.8784625
1	691.8184588
2	685.4622473
3	677.7599204
4	672.9033614
5	668.0803357
6	663.6462464
7	657.2346928
8	648.7581427
9	643.8288154
10	640.60281
11	636.1142488
12	631.1422179
13	625.7774837
14	618.8401496
15	612.794821
16	606.8967498
17	602.7748718
18	594.2324907
19	590.9278179
20	582.9324856
21	577.6965125
22	575.2564066
23	570.7918494
24	569.4139183
25	567.9152817
26	563.7131159
27	556.886583
28	552.8821359
29	551.1857965
30	547.5169627
31	542.8547553
32	538.6713557
33	537.6119325
34	536.5744303
35	531.1147654
36	525.3954436
37	524.1497453
38	518.4649226
39	517.6569119
40	513.9327373
41	511.2679536
42	510.5632711
43	504.3289908
44	502.7356429
45	501.7410347
46	497.8095551
47	492.9124561
48	491.4889706
49	485.9949219
50	482.2217965
51	478.2047353
52	473.7785127
53	470.3026791
54	467.2082169
55	463.0412655
56	462.5691032
57	458.943163
58	458.1148643
59	457.401959
60	453.38604
61	449.5714423
62	446.5660704
63	445.5113649
64	443.8014028
65	443.1196908
66	441.7652394
67	441.3345813
68	441.0661563
69	440.5090818
70	437.586698
71	435.1683479
72	434.4879947
73	432.5967651
74	429.3898208
75	428.513616
76	426.8495825
77	424.1116373
78	423.7470172
79	423.2405533
80	420.2185407
81	416.9081559
82	415.804637
83	413.177492
84	412.6990147
85	412.57201
86	411.9088004
87	409.858633
88	409.740677
89	407.0213465
90	406.8445354
91	404.0465623
92	403.8504673
93	402.7904885
94	402.3860766
95	400.1949011
96	399.8803099
97	397.6499343
98	397.3893844
99	395.5862106
100	395.1084631
101	394.4001997
102	393.279097
103	393.2027112
104	391.0910817
105	390.8898574
106	390.8251579
107	390.4835497
108	389.9773513
109	387.0121641
110	386.958841
111	386.8772865
112	386.8097577
113	386.4297483
114	384.0239204
115	382.2506064
116	380.4744972
117	379.1087742
118	378.7752802
119	378.3759297
120	376.0263109
121	374.036949
122	372.2962844
123	370.6200524
124	369.531441
125	367.5829946
126	366.1647838
127	365.1990563
128	365.0749595
129	363.1820254
130	363.0633377
131	362.1196831
132	361.8225452
133	359.2559266
134	359.0915
135	357.5227003
136	357.4394496
137	356.3894728
138	355.9656682
139	353.3779352
140	352.5981069
141	351.3058128
142	350.5520082
143	349.5349191
144	348.2204968
145	346.9272481
146	346.8435749
147	346.6028564
148	345.5085491
149	345.39915
150	344.6817197
151	343.5891627
152	343.5371235
153	343.3445451
154	342.4990155
155	342.3642091
156	342.1938438
157	341.722517
158	341.670841
159	341.4217911
160	340.0708491
161	338.4938871
162	338.2307919
163	337.6229483
164	337.2001888
165	337.1240063
166	337.0863166
167	336.8489396
168	335.7968569
169	335.2411543
170	333.9147102
171	331.9708123
172	331.1840347
173	330.9874039
174	330.8966981
175	330.8704104
176	330.8571627
177	329.7935804
178	328.4497827
179	328.3548165
180	327.9412249
181	327.6347827
182	326.649991
183	326.1827667
184	324.8775107
185	324.6079568
186	324.5425762
187	324.4717571
188	323.1702865
189	323.0957572
190	322.9064208
191	322.4080061
192	321.7679137
193	321.5243049
194	321.3840231
195	320.6233061
196	319.9060969
197	318.635286
198	318.4868912
199	318.4161862
200	318.1067383
201	317.059007
202	316.4631345
203	315.2929855
204	314.4574331
205	313.2416643
206	312.7365254
207	312.5079194
208	312.2498944
209	311.194502
210	309.6991457
211	309.1694066
212	309.0602228
213	308.739161
214	308.0340536
215	307.5913292
216	307.3383089
217	306.1658167
218	306.0526938
219	305.4732829
220	305.3661252
221	303.6001804
222	302.6545129
223	302.1332415
224	302.1048734
225	301.7900081
226	301.7419597
227	301.5229776
228	301.2063592
229	300.9271215
230	300.8492582
231	300.8369315
232	300.3821998
233	300.2172914
234	299.1024194
235	299.0767306
236	297.3074907
237	297.0134302
238	295.9306121
239	294.7185744
240	293.4064736
241	293.215824
242	292.4367192
243	292.0023142
244	291.9675316
245	290.4564855
246	290.1711743
247	289.2728039
248	289.25672
249	289.2454644
250	288.8993751
251	288.8862312
252	288.5563085
253	287.8382412
254	286.7288032
255	286.6176037
256	286.5622401
257	285.9742822
258	285.9581994
259	285.1181259
260	285.0945755
261	285.0393527
262	284.9829383
263	284.9380096
264	284.926719
265	283.868788
266	283.6908182
267	283.5466949
268	282.8010861
269	281.9625393
270	281.9515095
271	281.6996704
272	281.4383544
273	281.4231261
274	281.0026317
275	280.8020717
276	279.9800481
277	279.1125348
278	278.9766774
279	278.0023612
280	277.6034878
281	277.5510504
282	276.6875424
283	275.7647353
284	275.4446596
285	275.2309223
286	274.9206984
287	274.8538444
288	274.839253
289	274.121371
290	273.6317685
