iter	BalancedAccuracy	Logloss
0	0.9738447103	0.2269383917
1	0.9738447103	0.1334895478
2	0.9897959184	0.07245274768
3	0.9948979592	0.04599369518
4	1	0.03760311383
5	1	0.03167849767
6	1	0.02524664886
7	1	0.02132312385
8	1	0.01869437656
9	1	0.01588884039
10	1	0.01447583083
11	1	0.01271780296
12	1	0.01138562623
13	1	0.01033417583
14	1	0.009478783735
15	1	0.008796562555
16	1	0.008183042292
17	1	0.007704865874
18	1	0.007289936244
19	1	0.006915454298
20	1	0.006558838472
21	1	0.006260439239
22	1	0.005940990865
23	1	0.00569754216
24	1	0.005460008407
25	1	0.005257879538
26	1	0.005073089147
27	1	0.004888144884
28	1	0.004718954003
29	1	0.004527867713
30	1	0.004391477164
31	1	0.004256829355
32	1	0.004137893852
33	1	0.004019979247
34	1	0.003915268104
35	1	0.003781492706
36	1	0.003688717068
37	1	0.003581378763
38	1	0.003493180051
39	1	0.003386920315
40	1	0.003288017353
41	1	0.0032136619
42	1	0.003125052745
43	1	0.003059893589
44	1	0.00299796629
45	1	0.002920443608
46	1	0.002864004249
47	1	0.002793366888
48	1	0.002739574904
49	1	0.00267521171
50	1	0.002627492317
51	1	0.002581796329
52	1	0.00252436549
53	1	0.002469848257
54	1	0.002417997736
55	1	0.002371765326
56	1	0.002324320258
57	1	0.002278992855
58	1	0.002243496791
59	1	0.002201281753
60	1	0.002168179759
61	1	0.00212876453
62	1	0.002097819312
63	1	0.002048153738
64	1	0.002019582036
65	1	0.001991951144
66	1	0.001964106953
67	1	0.001931396053
68	1	0.001906148991
69	1	0.001881682786
70	1	0.001857960096
71	1	0.001828471212
72	1	0.001800048197
73	1	0.00177262639
74	1	0.00174614682
75	1	0.001720555552
76	1	0.001700341482
77	1	0.001680687595
78	1	0.001656905186
79	1	0.001638244131
80	1	0.001620078961
81	1	0.001597915085
82	1	0.001576435346
83	1	0.00155654197
84	1	0.001538488137
85	1	0.001522298379
86	1	0.001502884218
87	1	0.001487438396
88	1	0.001472366124
89	1	0.001454156498
90	1	0.001441881129
91	1	0.001424431603
92	1	0.001409958685
93	1	0.001396371049
94	1	0.001380054532
95	1	0.001367781921
96	1	0.001352143964
97	1	0.001339154874
98	1	0.001324243664
99	1	0.001309678018
