,z_nfm,zc1.1,zc6,zc5,zc9.7.2a,zc9.7.3a,zc9.7.1a,zc9.8a,zc9.101a,zc9.12a,ze1.1c,ze4,ze9.8b,ze11,ze12,ze44,ze14,ze16,zf12_a,zf14.8,zf14.12,zf14
3953,6.0,15000000.0,62.4,48.0,Нет,Да,Нет,Нет,Нет,Нет,500.0,50000.0,2000.0,10000.0,Да,"Сортирует и даже специально сдает использованные батарейки, электронику, пластик, алюминиевые банки и др.в пункты приема",Нет,Нет,Несколько месяцев,Нет,Нет,192700.0
3954,1.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,53.2,33.0,Нет,Нет,Нет,Нет,Да,Нет,35.0,12000.0,500.0,8000.0,Нет,"Не сортирует, так как нет возможности потом его раздельно выбрасывать в общественные контейнеры",Нет,Нет,Не больше месяца,Нет,Нет,29000.0
3955,2.0,8000000.0,44.8,27.9,Нет,Да,Нет,Нет,Нет,Нет,30.0,15000.0,350.0,7500.0,Нет,"Не сортирует, так как не считает нужным",Нет,Нет,Несколько месяцев,Нет,Нет,120000.0
3956,4.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,58.5,43.0,Нет,Нет,Нет,Нет,Нет,Нет,38.0,23000.0,1150.0,7259.0,Нет,"Не сортирует, но хотела бы",Нет,Нет,Не больше месяца,Нет,Нет,105300.0
3957,2.0,7000000.0,58.6,43.0,Нет,Нет,Нет,Нет,Да,Да,60.0,22000.0,700.0,6000.0,Нет,"Не сортирует, так как нет возможности потом его раздельно выбрасывать в общественные контейнеры",Нет,Нет,Несколько месяцев,Нет,Нет,69000.0
3958,3.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,73.7,48.0,Нет,Да,Нет,Нет,Да,Нет,180.0,25000.0,600.0,10000.0,Нет,"Не сортирует, но хотела бы",Нет,Нет,Несколько месяцев,Нет,Нет,145000.0
3959,2.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,56.2,32.0,Нет,Нет,Нет,Нет,Нет,Нет,100.0,25000.0,600.0,8000.0,Нет,"Не сортирует, так как нет возможности потом его раздельно выбрасывать в общественные контейнеры",Нет,Нет,Несколько месяцев,Нет,Нет,78300.0
3960,2.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,54.6,32.0,Нет,Нет,Нет,Нет,Нет,Нет,38.0,30000.0,900.0,5800.0,Нет,Сортирует пищевой и непищевой мусор,Нет,Да,Полгода и больше,Нет,Нет,84200.0
3961,6.0,10000000.0,63.5,45.2,Да,Да,Нет,Нет,Да,Нет,120.0,58000.0,3400.0,9000.0,Нет,Сортирует пищевой и непищевой мусор,Нет,Да,Несколько месяцев,Нет,Нет,176000.0
3962,3.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,46.5,30.5,Нет,Нет,Нет,Нет,Нет,Нет,90.0,25000.0,1100.0,5600.0,Нет,Сортирует пищевой и непищевой мусор,Нет,Нет,Не больше двух недель,Нет,Нет,61000.0
3963,2.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,63.8,42.7,Нет,Нет,Нет,Нет,Да,Нет,60.0,22000.0,500.0,5500.0,Нет,Сортирует пищевой и непищевой мусор,Нет,Да,Несколько месяцев,Нет,Да,66500.0
3964,5.0,10500000.0,44.6,28.0,Нет,Да,Нет,Нет,Да,Нет,190.0,48000.0,2200.0,8500.0,Нет,Сортирует пищевой и непищевой мусор,Нет,Нет,Несколько месяцев,Нет,Нет,127250.0
3965,4.0,9000000.0,45.5,29.8,Нет,Да,Нет,Нет,Нет,Нет,64.0,50000.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,6500.0,Нет,Сортирует пищевой и непищевой мусор,Нет,Да,Несколько месяцев,Нет,Нет,112400.0
3966,2.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,58.6,43.7,Нет,Нет,Нет,Нет,Нет,Нет,64.0,22000.0,600.0,6200.0,Нет,Сортирует пищевой и непищевой мусор,Нет,Да,Несколько месяцев,Нет,Нет,45800.0
3967,1.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,58.7,43.2,Нет,Нет,Нет,Нет,Да,Нет,64.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,600.0,7000.0,Нет,Сортирует пищевой и непищевой мусор,Нет,Нет,Несколько месяцев,Нет,Нет,69300.0
3968,2.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,44.8,28.5,Да,Да,Нет,Нет,Да,Нет,38.0,13000.0,900.0,6500.0,Нет,Сортирует пищевой и непищевой мусор,Нет,Нет,Несколько месяцев,Нет,Нет,45900.0
