,z_nfm,zc1.1,zc6,zc5,zc9.7.2a,zc9.7.3a,zc9.7.1a,zc9.8a,zc9.101a,zc9.12a,ze1.1c,ze4,ze9.8b,ze11,ze12,ze44,ze14,ze16,zf12_a,zf14.8,zf14.12,zf14
4025,2.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,50.8,37.1,Нет,Да,Нет,Нет,Нет,Нет,50.0,20000.0,3000.0,5000.0,Нет,"Не сортирует, так как нет возможности потом его раздельно выбрасывать в общественные контейнеры",Нет,Нет,Не больше двух недель,Нет,Нет,95000.0
4026,2.0,ЖИЛЬЕ ПРОДАТЬ НЕВОЗМОЖНО,52.3,29.0,Нет,Нет,Нет,Нет,Да,Нет,40.0,20000.0,1100.0,7000.0,Нет,"Не сортирует, так как нет возможности потом его раздельно выбрасывать в общественные контейнеры",Нет,Нет,Не больше двух недель,Нет,Нет,45000.0
4027,1.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,33.2,15.8,Нет,Нет,Нет,Нет,Да,Нет,72.0,9000.0,300.0,3000.0,Нет,Сортирует пищевой и непищевой мусор,Нет,Да,Не больше месяца,Нет,Нет,28800.0
4028,1.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,35.6,20.0,Нет,Нет,Нет,Нет,Да,Нет,,25000.0,100.0,,Нет,"Сортирует и даже специально сдает использованные батарейки, электронику, пластик, алюминиевые банки и др.в пункты приема",Нет,Нет,Не больше месяца,Нет,Нет,50000.0
4029,2.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,37.0,24.0,Да,Да,Нет,Да,Нет,Да,35.0,10000.0,900.0,4300.0,Нет,"Не сортирует, так как нет возможности потом его раздельно выбрасывать в общественные контейнеры",Нет,Да,Несколько месяцев,Нет,Да,36000.0
4030,1.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,40.0,30.0,Нет,Нет,Нет,Нет,Да,Нет,30.0,8000.0,300.0,4000.0,Нет,"Не сортирует, так как нет возможности потом его раздельно выбрасывать в общественные контейнеры",Нет,Нет,Полгода и больше,Нет,Нет,30000.0
4031,4.0,12000000.0,76.0,46.0,Нет,Да,Нет,Нет,Да,Нет,70.0,40000.0,2000.0,8500.0,Нет,"Не сортирует, так как нет возможности потом его раздельно выбрасывать в общественные контейнеры",Нет,Нет,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,Нет,Да,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ
4032,3.0,13000000.0,54.5,36.5,Нет,Да,Нет,Нет,Да,Да,200.0,18000.0,600.0,9500.0,Нет,Сортирует пищевой и непищевой мусор,Нет,Нет,Не больше недели,Нет,Нет,70172.0
4642,2.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,48.6,31.4,Нет,Нет,Нет,Нет,Нет,Нет,120.0,18000.0,600.0,6670.0,Нет,"Не сортирует, так как не считает нужным",Нет,Нет,Несколько месяцев,Нет,Нет,50500.0
4643,4.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,42.4,28.9,Нет,Да,Нет,Нет,Да,Нет,250.0,45000.0,1200.0,6450.0,Нет,Сортирует пищевой и непищевой мусор,Нет,ОТКАЗ ОТ ОТВЕТА,Полгода и больше,Нет,Нет,ОТКАЗ ОТ ОТВЕТА
4644,5.0,10000000.0,37.6,24.2,Да,Нет,Нет,Нет,Да,Нет,160.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,2000.0,5840.0,Нет,"Не сортирует, так как нет возможности потом его раздельно выбрасывать в общественные контейнеры",Нет,ОТКАЗ ОТ ОТВЕТА,Несколько месяцев,Да,Нет,165000.0
4645,3.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,78.2,51.1,Нет,Да,Нет,Нет,Да,Нет,160.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,1200.0,6280.0,Нет,"Не сортирует, так как не считает нужным",Нет,Нет,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,Нет,Нет,97000.0
4646,1.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,29.7,18.0,Нет,Нет,Нет,Нет,Нет,Нет,120.0,10000.0,500.0,5500.0,Да,"Не сортирует, так как не считает нужным",Нет,Нет,Ни одного дня,Нет,Нет,4000.0
4647,6.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,38.0,30.0,Нет,Нет,Нет,Нет,Да,Нет,70.0,50000.0,400.0,5300.0,Нет,"Не сортирует, но хотела бы",Нет,Нет,Несколько месяцев,Нет,Нет,176000.0
4648,3.0,nan,44.0,30.0,Нет,Да,Нет,Нет,Нет,Нет,50.0,20000.0,2000.0,35000.0,Нет,"Сортирует и даже специально сдает использованные батарейки, электронику, пластик, алюминиевые банки и др.в пункты приема",Нет,Нет,Несколько месяцев,Нет,Нет,205000.0
4649,3.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,38.0,27.0,Нет,Нет,Нет,Нет,Нет,Нет,,20000.0,1500.0,4200.0,Нет,"Не сортирует, так как не считает нужным",Нет,Нет,Не больше двух недель,Нет,Нет,91000.0
4650,1.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,44.0,30.0,Нет,Нет,Нет,Нет,Нет,Нет,56.0,10000.0,150.0,5000.0,Нет,"Не сортирует, но хотела бы",Нет,Да,Полгода и больше,Нет,Нет,36000.0
4651,1.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,12.0,Нет,Нет,Нет,Нет,Нет,Нет,,18000.0,400.0,6000.0,Нет,"Не сортирует, так как нет возможности потом его раздельно выбрасывать в общественные контейнеры",Да,Да,Несколько месяцев,Нет,Да,50000.0
4652,2.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,52.0,36.0,Нет,Да,Нет,Нет,Да,Нет,56.0,20000.0,500.0,7000.0,Нет,"Не сортирует, но хотела бы",Нет,Да,Несколько месяцев,Да,Нет,205000.0
4653,6.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,62.4,39.1,Нет,Нет,Нет,Нет,Нет,Нет,230.0,30000.0,1000.0,8700.0,Нет,"Сортирует и даже специально сдает использованные батарейки, электронику, пластик, алюминиевые банки и др.в пункты приема",Нет,Нет,Не больше месяца,Нет,Нет,152400.0
4654,3.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,40.0,21.3,Нет,Да,Нет,Нет,Да,Нет,,30000.0,700.0,4250.0,Нет,"Сортирует и даже специально сдает использованные батарейки, электронику, пластик, алюминиевые банки и др.в пункты приема",Нет,Нет,Не больше месяца,Нет,Нет,88000.0
4655,3.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,52.3,30.0,Нет,Да,Да,Нет,Да,Да,150.0,30000.0,1500.0,10000.0,Нет,"Не сортирует, но хотела бы",Нет,Да,Не больше месяца,Да,Нет,114000.0
4656,1.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,73.2,46.0,Нет,Нет,Нет,Нет,Нет,Да,50.0,20000.0,1500.0,7000.0,Нет,"Сортирует и даже специально сдает использованные батарейки, электронику, пластик, алюминиевые банки и др.в пункты приема",Да,Нет,Не больше месяца,Нет,Нет,36629.0
4657,5.0,ЖИЛЬЕ ПРОДАТЬ НЕВОЗМОЖНО,31.3,20.7,Нет,Нет,Нет,Нет,Нет,Нет,90.0,33000.0,2000.0,7800.0,Нет,"Не сортирует, но хотела бы",Нет,Да,Не больше месяца,Да,Нет,163000.0
4658,5.0,ЖИЛЬЕ НЕ ПОДЛЕЖИТ ПРОДАЖЕ,38.4,25.8,Нет,Нет,Нет,Нет,Нет,Нет,136.0,20000.0,2000.0,9200.0,Нет,"Не сортирует, так как не считает нужным",Нет,Нет,Не больше двух недель,Нет,Нет,47000.0
4659,3.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,62.0,48.0,Нет,Да,Нет,Нет,Да,Нет,76.0,24000.0,1500.0,9600.0,Нет,"Не сортирует, так как не считает нужным",Нет,Нет,Не больше месяца,Нет,Нет,93000.0
4660,2.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,35.7,14.2,Нет,Нет,Нет,Нет,Да,Нет,30.0,17000.0,1000.0,5000.0,Нет,"Не сортирует, так как нет возможности потом его раздельно выбрасывать в общественные контейнеры",Нет,Нет,Не больше двух недель,Нет,Нет,49935.0
4661,1.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,63.2,45.6,Нет,Нет,Нет,Нет,Нет,Нет,,11000.0,550.0,8000.0,Нет,"Не сортирует, так как не считает нужным",Нет,Нет,Несколько месяцев,Нет,Нет,24200.0
4662,5.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,56.6,29.3,Нет,Да,Нет,Нет,Да,Да,135.0,40000.0,2500.0,7663.0,Нет,Сортирует пищевой и непищевой мусор,Нет,Нет,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,Да,Нет,254000.0
4663,6.0,10000000.0,54.5,28.7,Да,Да,Нет,Да,Да,Да,245.0,35000.0,5000.0,5100.0,Нет,"Не сортирует, так как не считает нужным",Нет,Нет,Не больше месяца,Да,Нет,174800.0
4664,1.0,7500000.0,47.0,17.0,Нет,Нет,Нет,Нет,Нет,Нет,44.0,9000.0,500.0,5150.0,Нет,"Не сортирует, но хотела бы",Нет,Нет,Не больше недели,Нет,Нет,34000.0
4665,1.0,8000000.0,54.0,40.0,Нет,Нет,Нет,Нет,Нет,Нет,35.0,10000.0,100.0,7000.0,Нет,"Не сортирует, но хотела бы",Нет,Нет,Полгода и больше,Нет,Нет,21000.0
4666,2.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,58.1,44.2,Нет,Нет,Нет,Нет,Да,Нет,70.0,15000.0,0.0,5914.0,Нет,"Не сортирует, так как нет возможности потом его раздельно выбрасывать в общественные контейнеры",Нет,Нет,Не больше месяца,Нет,Нет,66085.0
4667,6.0,18000000.0,74.0,47.0,Нет,Да,Нет,Нет,Да,Да,105.0,54000.0,2100.0,,Да,Сортирует пищевой и непищевой мусор,Нет,Нет,Ни одного дня,Да,Нет,167500.0
4668,3.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,100.0,70.0,Нет,Да,Нет,Нет,Нет,Нет,100.0,30000.0,1500.0,15000.0,Нет,"Не сортирует, так как нет возможности потом его раздельно выбрасывать в общественные контейнеры",Нет,Нет,Не больше недели,Нет,Нет,159000.0
4669,3.0,7500000.0,49.0,30.0,Нет,Нет,Нет,Нет,Нет,Нет,,15000.0,1000.0,5500.0,Нет,"Не сортирует, так как нет возможности потом его раздельно выбрасывать в общественные контейнеры",Нет,Нет,Не больше недели,Да,Нет,48000.0
4670,1.0,8000000.0,34.2,21.7,Нет,Нет,Нет,Нет,Нет,Нет,20.0,10000.0,810.0,,Нет,Сортирует пищевой и непищевой мусор,Нет,Нет,Не больше недели,Нет,Нет,30000.0
4671,3.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,49.0,33.8,Нет,Да,Нет,Нет,Нет,Нет,70.0,28000.0,850.0,2000.0,Нет,"Не сортирует, так как нет возможности потом его раздельно выбрасывать в общественные контейнеры",Нет,Нет,Не больше месяца,Нет,Нет,65000.0
4672,6.0,8500000.0,58.6,43.0,Нет,Да,Нет,Нет,Да,Нет,160.0,70000.0,1200.0,5900.0,Нет,"Не сортирует, но хотела бы",Нет,Нет,Несколько месяцев,Нет,Нет,298800.0
4673,2.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,58.6,43.2,Нет,Нет,Нет,Нет,Да,Нет,120.0,20000.0,400.0,8500.0,Нет,"Не сортирует, но хотела бы",Нет,Нет,Не больше месяца,Да,Нет,50000.0
4674,1.0,ОТКАЗ ОТ ОТВЕТА,50.8,30.7,Нет,Нет,Нет,Нет,Нет,Нет,22.0,12000.0,350.0,7500.0,Нет,"Не сортирует, так как нет возможности потом его раздельно выбрасывать в общественные контейнеры",Нет,Нет,Несколько месяцев,Нет,Да,22600.0
4675,6.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,83.1,52.9,Нет,Нет,Нет,Нет,Нет,Нет,71.0,35000.0,1000.0,7520.0,Нет,Сортирует пищевой и непищевой мусор,Нет,Нет,Не больше недели,Нет,Нет,81961.0
4676,4.0,12000000.0,80.0,48.5,Нет,Да,Нет,Нет,Да,Да,25.0,20000.0,1000.0,7300.0,Нет,"Не сортирует, так как нет возможности потом его раздельно выбрасывать в общественные контейнеры",Нет,Нет,Несколько месяцев,Нет,Нет,200000.0
4677,2.0,20000000.0,85.0,45.0,Нет,Да,Нет,Нет,Да,Да,,40000.0,1000.0,6000.0,Нет,"Не сортирует, так как нет возможности потом его раздельно выбрасывать в общественные контейнеры",Нет,Да,Полгода и больше,Нет,Нет,160000.0
4678,4.0,18000000.0,78.8,45.0,Нет,Нет,Нет,Нет,Да,Да,40.0,40000.0,3000.0,7200.0,Нет,"Не сортирует, так как нет возможности потом его раздельно выбрасывать в общественные контейнеры",Нет,Нет,Не больше двух недель,Да,Нет,89800.0
4679,1.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,35.0,17.0,Нет,Нет,Нет,Нет,Нет,Нет,45.0,3500.0,300.0,4500.0,Нет,"Не сортирует, так как не считает нужным",Нет,Нет,ОТКАЗ ОТ ОТВЕТА,Нет,Нет,0.0
4680,2.0,5000000.0,31.0,21.7,Нет,Нет,Нет,Нет,Да,Нет,50.0,20000.0,1000.0,10000.0,Нет,"Не сортирует, так как не считает нужным",Нет,Нет,Не больше месяца,Нет,Нет,91000.0
4681,1.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,40.0,23.0,Нет,Нет,Нет,Нет,Нет,Нет,36.0,10000.0,300.0,4000.0,Нет,"Не сортирует, так как не считает нужным",Нет,Нет,Не больше месяца,Нет,Нет,23250.0
4682,2.0,4000000.0,33.0,18.5,Нет,Нет,Нет,Нет,Нет,Да,,20000.0,1000.0,4700.0,Нет,"Не сортирует, так как не считает нужным",Нет,Нет,Несколько месяцев,Нет,Нет,55000.0
4683,3.0,6000000.0,58.0,38.0,Нет,Нет,Нет,Нет,Нет,Да,70.0,25000.0,3000.0,7000.0,Нет,"Не сортирует, так как не считает нужным",Нет,Нет,Полгода и больше,Нет,Нет,192000.0
4684,1.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,60.0,34.0,Нет,Да,Нет,Нет,Нет,Нет,40.0,12000.0,1000.0,3700.0,Нет,"Не сортирует, так как не считает нужным",Нет,Нет,Несколько месяцев,Нет,Нет,50000.0
4685,2.0,4000000.0,51.0,31.0,Нет,Да,Нет,Нет,Да,Нет,50.0,20000.0,2000.0,3000.0,Нет,"Не сортирует, так как не считает нужным",Нет,Нет,Несколько месяцев,Нет,Нет,42000.0
4686,1.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,32.0,19.0,Нет,Нет,Нет,Нет,Нет,Нет,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,,,Нет,"Не сортирует, так как не считает нужным",Нет,Нет,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,Нет,Нет,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ
4687,1.0,8000000.0,31.5,21.4,Нет,Нет,Нет,Нет,Нет,Да,,28000.0,600.0,4500.0,Нет,"Не сортирует, так как нет возможности потом его раздельно выбрасывать в общественные контейнеры",Нет,Нет,Несколько месяцев,Нет,Нет,65000.0
4688,5.0,НЕТ ОТВЕТА,46.0,32.0,Нет,Да,Нет,Нет,Нет,Нет,80.0,20000.0,2000.0,6700.0,Нет,Сортирует пищевой и непищевой мусор,Нет,Нет,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,Нет,Нет,174000.0
4689,4.0,9000000.0,74.5,50.0,Нет,Да,Нет,Нет,Да,Нет,280.0,30000.0,500.0,9100.0,Нет,"Не сортирует, но хотела бы",Нет,Нет,Несколько месяцев,Нет,Нет,105000.0
4690,4.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,73.6,51.8,Нет,Нет,Нет,Нет,Нет,Нет,240.0,35000.0,1200.0,8560.0,Да,"Не сортирует, так как нет возможности потом его раздельно выбрасывать в общественные контейнеры",Нет,Нет,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,Нет,Нет,93430.0
4691,1.0,12000000.0,54.6,32.4,Нет,Нет,Нет,Нет,Нет,Нет,50.0,18000.0,600.0,6280.0,Нет,"Не сортирует, но хотела бы",Нет,ОТКАЗ ОТ ОТВЕТА,Полгода и больше,Нет,Нет,ОТКАЗ ОТ ОТВЕТА
4692,9.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,83.6,58.2,Да,Да,Нет,Нет,Нет,Нет,350.0,100000.0,2500.0,9280.0,Нет,"Не сортирует, но хотела бы",Нет,Нет,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,Нет,Нет,ОТКАЗ ОТ ОТВЕТА
4693,5.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,79.2,54.1,Нет,Нет,Нет,Нет,Нет,Нет,220.0,40000.0,1200.0,11850.0,Нет,Сортирует пищевой и непищевой мусор,Нет,Нет,Не больше месяца,Нет,Нет,167000.0
4694,5.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,75.8,50.2,Нет,Да,Нет,Нет,Да,Нет,200.0,50000.0,2000.0,7950.0,Да,"Не сортирует, так как не считает нужным",Нет,Нет,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,Нет,Нет,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ
4695,1.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,60.0,12.0,Нет,Нет,Нет,Нет,Нет,Нет,35.0,15000.0,500.0,,Нет,"Сортирует и даже специально сдает использованные батарейки, электронику, пластик, алюминиевые банки и др.в пункты приема",Нет,Нет,Несколько месяцев,Нет,Нет,65000.0
4696,4.0,nan,46.0,30.0,Нет,Да,Нет,Нет,Да,Нет,250.0,20000.0,3000.0,13000.0,Нет,"Сортирует и даже специально сдает использованные батарейки, электронику, пластик, алюминиевые банки и др.в пункты приема",Нет,Нет,Не больше месяца,Нет,Нет,86000.0
4697,2.0,nan,72.0,60.0,Нет,Нет,Нет,Нет,Нет,Нет,240.0,15000.0,1000.0,20000.0,Нет,"Сортирует и даже специально сдает использованные батарейки, электронику, пластик, алюминиевые банки и др.в пункты приема",Нет,Нет,Не больше месяца,Нет,Нет,90000.0
4698,7.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,74.0,60.0,Нет,Да,Нет,Нет,Нет,Нет,104.0,50000.0,2000.0,15000.0,Нет,Сортирует пищевой и непищевой мусор,Нет,Нет,Полгода и больше,Нет,Нет,121000.0
4699,4.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,52.0,29.0,Нет,Да,Нет,Нет,Нет,Нет,110.0,20000.0,20000.0,6000.0,Нет,"Сортирует и даже специально сдает использованные батарейки, электронику, пластик, алюминиевые банки и др.в пункты приема",Нет,Нет,Не больше месяца,Да,Нет,100000.0
4700,4.0,ЖИЛЬЕ НЕ ПОДЛЕЖИТ ПРОДАЖЕ,76.0,60.0,Нет,Да,Нет,Нет,Да,Нет,70.0,30000.0,1500.0,10000.0,Нет,"Не сортирует, так как нет возможности потом его раздельно выбрасывать в общественные контейнеры",Нет,Нет,Несколько месяцев,Да,Нет,135000.0
4701,3.0,ЖИЛЬЕ НЕ ПОДЛЕЖИТ ПРОДАЖЕ,34.0,20.0,Нет,Да,Нет,Нет,Нет,Нет,100.0,20000.0,1000.0,6000.0,Нет,"Сортирует и даже специально сдает использованные батарейки, электронику, пластик, алюминиевые банки и др.в пункты приема",Нет,Нет,Не больше месяца,Нет,Нет,85000.0
4702,4.0,ЖИЛЬЕ НЕ ПОДЛЕЖИТ ПРОДАЖЕ,46.0,30.0,Нет,Да,Нет,Нет,Нет,Нет,175.0,30000.0,1500.0,10000.0,Нет,"Не сортирует, так как нет возможности потом его раздельно выбрасывать в общественные контейнеры",Нет,Нет,Не больше месяца,Нет,Нет,70000.0
4703,4.0,ЖИЛЬЕ НЕ ПОДЛЕЖИТ ПРОДАЖЕ,74.0,43.0,Нет,Да,Нет,Нет,Да,Нет,124.0,25000.0,800.0,11000.0,Нет,"Не сортирует, так как нет возможности потом его раздельно выбрасывать в общественные контейнеры",Нет,Нет,Ни одного дня,Да,Нет,103000.0
4704,2.0,ЖИЛЬЕ НЕ ПОДЛЕЖИТ ПРОДАЖЕ,72.0,60.0,Нет,Да,Нет,Нет,Да,Нет,52.0,20000.0,2800.0,7000.0,Нет,"Не сортирует, так как нет возможности потом его раздельно выбрасывать в общественные контейнеры",Нет,Нет,Несколько месяцев,Нет,Нет,60000.0
4705,2.0,nan,44.0,32.0,Нет,Да,Нет,Нет,Нет,Нет,50.0,40000.0,2000.0,8000.0,Нет,"Сортирует и даже специально сдает использованные батарейки, электронику, пластик, алюминиевые банки и др.в пункты приема",Нет,Нет,Не больше месяца,Да,Нет,130000.0
4706,1.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,39.0,20.0,Нет,Нет,Нет,Нет,Нет,Нет,45.0,15000.0,500.0,5000.0,Нет,Сортирует пищевой и непищевой мусор,Нет,Да,Полгода и больше,Нет,Нет,39000.0
4707,1.0,ЖИЛЬЕ НЕ ПОДЛЕЖИТ ПРОДАЖЕ,60.0,33.6,Нет,Да,Нет,Нет,Нет,Нет,105.0,20000.0,500.0,7000.0,Нет,"Сортирует и даже специально сдает использованные батарейки, электронику, пластик, алюминиевые банки и др.в пункты приема",Нет,Нет,Несколько месяцев,Нет,Нет,50000.0
4708,3.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,50.0,36.0,Нет,Нет,Нет,Нет,Нет,Нет,35.0,20000.0,300.0,9000.0,Нет,"Сортирует и даже специально сдает использованные батарейки, электронику, пластик, алюминиевые банки и др.в пункты приема",Нет,Нет,Несколько месяцев,Нет,Нет,51000.0
4709,6.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,73.0,63.0,Нет,Да,Нет,Нет,Да,Нет,280.0,30000.0,2000.0,3000.0,Нет,"Не сортирует, так как нет возможности потом его раздельно выбрасывать в общественные контейнеры",Нет,Нет,Несколько месяцев,Нет,Нет,89000.0
4710,4.0,ЖИЛЬЕ НЕ ПОДЛЕЖИТ ПРОДАЖЕ,72.0,60.0,Нет,Да,Нет,Нет,Нет,Нет,200.0,30000.0,600.0,7000.0,Нет,"Сортирует и даже специально сдает использованные батарейки, электронику, пластик, алюминиевые банки и др.в пункты приема",Нет,Нет,Не больше месяца,Да,Нет,150000.0
4711,1.0,nan,36.0,20.0,Нет,Нет,Нет,Нет,Нет,Нет,111.0,15000.0,400.0,10000.0,Нет,"Сортирует и даже специально сдает использованные батарейки, электронику, пластик, алюминиевые банки и др.в пункты приема",Нет,Нет,Несколько месяцев,Нет,Нет,43000.0
4712,2.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,52.0,30.0,Нет,Нет,Нет,Да,Нет,Нет,150.0,21000.0,1500.0,5000.0,Нет,"Сортирует и даже специально сдает использованные батарейки, электронику, пластик, алюминиевые банки и др.в пункты приема",Нет,Нет,Несколько месяцев,Да,Нет,87000.0
4713,3.0,ЖИЛЬЕ НЕ ПОДЛЕЖИТ ПРОДАЖЕ,50.0,36.0,Нет,Нет,Нет,Нет,Нет,Нет,,32000.0,800.0,7000.0,Нет,Сортирует пищевой и непищевой мусор,Нет,Нет,Не больше месяца,Нет,Нет,97000.0
4714,7.0,ЖИЛЬЕ НЕ ПОДЛЕЖИТ ПРОДАЖЕ,51.0,36.0,Нет,Да,Нет,Нет,Да,Нет,128.0,25000.0,2500.0,7300.0,Нет,Сортирует пищевой и непищевой мусор,Нет,Нет,Несколько месяцев,Да,Нет,158700.0
4715,1.0,nan,26.0,16.0,Нет,Нет,Нет,Нет,Нет,Нет,170.0,10000.0,500.0,25400.0,Нет,"Не сортирует, так как нет возможности потом его раздельно выбрасывать в общественные контейнеры",Да,Нет,Не больше месяца,Да,Да,50000.0
4716,1.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,57.8,33.8,Нет,Нет,Нет,Нет,Нет,Нет,,20000.0,400.0,7444.0,Нет,"Не сортирует, так как не считает нужным",Нет,Нет,Полгода и больше,Нет,Нет,32342.0
4717,4.0,ОТКАЗ ОТ ОТВЕТА,49.9,37.0,Нет,Да,Нет,Нет,Нет,Нет,120.0,25000.0,1500.0,7000.0,Нет,"Не сортирует, так как не считает нужным",Нет,Нет,Не больше месяца,Да,Нет,62000.0
4718,3.0,13000000.0,58.6,41.2,Нет,Нет,Нет,Нет,Нет,Нет,72.0,22000.0,600.0,7000.0,Нет,"Не сортирует, так как не считает нужным",Нет,Да,Не больше двух недель,Да,Да,88300.0
4719,1.0,12000000.0,54.2,36.0,Да,Нет,Нет,Нет,Да,Нет,52.0,15000.0,300.0,7000.0,Нет,"Не сортирует, так как нет возможности потом его раздельно выбрасывать в общественные контейнеры",Нет,Нет,Полгода и больше,Нет,Нет,26000.0
4720,1.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,50.6,36.4,Нет,Нет,Нет,Нет,Да,Нет,32.0,13000.0,500.0,5000.0,Нет,Сортирует пищевой и непищевой мусор,Нет,Да,Несколько месяцев,Нет,Нет,29900.0
4721,5.0,9800000.0,74.5,45.2,Нет,Да,Нет,Нет,Нет,Да,180.0,35000.0,800.0,11500.0,Нет,"Не сортирует, так как нет возможности потом его раздельно выбрасывать в общественные контейнеры",Нет,Нет,Не больше месяца,Да,Нет,155800.0
4722,4.0,9000000.0,56.2,36.0,Нет,Нет,Нет,Нет,Нет,Нет,100.0,40000.0,1300.0,7100.0,Нет,"Не сортирует, так как нет возможности потом его раздельно выбрасывать в общественные контейнеры",Нет,Нет,Не больше месяца,Нет,Нет,71000.0
4723,5.0,9500000.0,68.7,45.3,Нет,Нет,Нет,Нет,Нет,Нет,138.0,25000.0,1500.0,13500.0,Нет,"Не сортирует, так как нет возможности потом его раздельно выбрасывать в общественные контейнеры",Нет,Нет,Не больше двух недель,Нет,Нет,64200.0
4724,4.0,ОТКАЗ ОТ ОТВЕТА,73.5,43.0,Нет,Да,Нет,Нет,Нет,Нет,80.0,40000.0,1800.0,8500.0,Нет,"Не сортирует, так как нет возможности потом его раздельно выбрасывать в общественные контейнеры",Нет,Нет,Не больше месяца,Нет,Да,ОТКАЗ ОТ ОТВЕТА
4725,1.0,10000000.0,58.0,34.0,Нет,Да,Нет,Нет,Нет,Нет,38.0,15000.0,500.0,7000.0,Нет,"Не сортирует, так как нет возможности потом его раздельно выбрасывать в общественные контейнеры",Нет,Нет,Ни одного дня,Да,Нет,57000.0
4726,3.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,56.4,34.2,Нет,Да,Нет,Нет,Нет,Нет,116.0,38000.0,2000.0,8000.0,Нет,"Не сортирует, так как не считает нужным",Нет,Нет,Несколько месяцев,Нет,Нет,120000.0
4727,4.0,11000000.0,56.4,34.2,Нет,Нет,Нет,Нет,Нет,Нет,260.0,50000.0,600.0,7500.0,Нет,"Не сортирует, так как не считает нужным",Нет,Нет,Ни одного дня,Да,Нет,131600.0
4728,3.0,7800000.0,40.2,20.4,Нет,Нет,Нет,Нет,Нет,Да,96.0,25000.0,2000.0,8000.0,Нет,Сортирует пищевой и непищевой мусор,Нет,Нет,Не больше двух недель,Да,Нет,56000.0
